Quarter,Time,Down,ToGo,Location,Detail,SFO,SEA,EPB,EPA
1,15:00,,,SFO 35,Phil Dawson kicks off 65 yards touchback,0,0,0.000,-0.280
1,15:00,1,10,SEA 20,Russell Wilson sacked by Aldon Smith for -7 yards. Russell Wilson fumbles (forced by Aldon Smith) recovered by Aldon Smith at SEA-15 (tackle by Russell Wilson),0,0,0.280,-4.580
1,14:50,1,10,SEA 15,Frank Gore left tackle for 2 yards (tackle by Chris Clemons),0,0,4.580,4.280
1,14:10,2,8,SEA 13,Colin Kaepernick pass complete short left to Michael Crabtree for 2 yards (tackle by Bobby Wagner),0,0,4.280,3.780
1,13:26,3,6,SEA 11,Colin Kaepernick up the middle for 4 yards (tackle by Bobby Wagner),0,0,3.780,3.000
1,12:48,4,2,SEA 7,Phil Dawson 25 yard field goal good,3,0,3.000,3.000
1,12:48,,,SFO 35,Phil Dawson kicks off 65 yards returned by Doug Baldwin for 16 yards (tackle by Dan Skuta),3,0,0.000,0.140
1,12:39,1,10,SEA 16,Russell Wilson pass complete short right to Zach Miller for 8 yards (tackle by Tramaine Brock),3,0,-0.140,0.550
1,12:02,2,2,SEA 24,Marshawn Lynch up the middle for 1 yard (tackle by Glenn Dorsey and NaVorro Bowman),3,0,0.550,-0.200
1,11:25,3,1,SEA 25,Marshawn Lynch right tackle for no gain (tackle by NaVorro Bowman and Tramaine Brock),3,0,-0.200,-1.700
1,10:48,4,1,SEA 25,Jon Ryan punts 46 yards fair catch by LaMichael James. Penalty on Michael Wilhoite: Offensive Holding 10 yards,3,0,-1.700,-0.150
1,10:40,1,10,SFO 19,Frank Gore left tackle for 1 yard (tackle by Bruce Irvin),3,0,0.150,-0.200
1,10:05,2,9,SFO 20,Colin Kaepernick pass complete short right to Vance McDonald for 13 yards (tackle by Kam Chancellor and Bobby Wagner),3,0,-0.200,1.140
1,9:21,1,10,SFO 33,Colin Kaepernick right end for 17 yards (tackle by Richard Sherman and Bobby Wagner),3,0,1.140,2.260
1,8:40,1,10,50,Frank Gore up the middle for -1 yards (tackle by Red Bryant),3,0,2.260,1.580
1,7:56,2,11,SFO 49,Colin Kaepernick up the middle for 8 yards,3,0,1.580,1.950
1,7:13,3,3,SEA 43,Colin Kaepernick left tackle for 2 yards (tackle by Bobby Wagner and Kam Chancellor),3,0,1.950,0.530
1,6:08,4,1,SEA 41,Penalty on Vernon Davis: False Start 5 yards (no play),3,0,0.530,0.200
1,5:53,4,6,SEA 46,Andy Lee punts 45 yards,3,0,0.200,0.380
1,5:43,1,10,SEA 1,Marshawn Lynch left tackle for 7 yards (tackle by Aldon Smith). Penalty on Aldon Smith: Defensive Offside 5 yards (no play),3,0,-0.380,-0.190
1,5:24,1,5,SEA 6,Marshawn Lynch right guard for 3 yards (tackle by Patrick Willis and Ray McDonald),3,0,-0.190,-0.200
1,4:47,2,2,SEA 9,Marshawn Lynch left tackle for 2 yards (tackle by NaVorro Bowman and Glenn Dorsey),3,0,-0.200,-0.370
1,4:11,1,10,SEA 11,Russell Wilson pass incomplete deep right intended for Jermaine Kearse,3,0,-0.370,-0.780
1,4:05,2,10,SEA 11,Marshawn Lynch right tackle for 3 yards (tackle by Justin Smith),3,0,-0.780,-1.070
1,3:24,3,7,SEA 14,Russell Wilson pass complete deep right to Doug Baldwin for 22 yards (tackle by Eric Reid),3,0,-1.070,1.330
1,2:38,1,10,SEA 36,Russell Wilson pass incomplete deep middle intended for Luke Willson (defended by Eric Reid). Penalty on Donte Whitner: Unnecessary Roughness 15 yards (no play),3,0,1.330,2.320
1,2:30,1,10,SFO 49,Marshawn Lynch right guard for 2 yards (tackle by Patrick Willis and Glenn Dorsey),3,0,2.320,2.050
1,1:52,2,8,SFO 47,Russell Wilson pass complete short middle to Marshawn Lynch for 11 yards (tackle by Patrick Willis and Eric Reid). Penalty on Breno Giacomini: Offensive Holding 10 yards (no play),3,0,2.050,0.700
1,1:24,2,18,SEA 43,Russell Wilson pass complete short right to Robert Turbin for 9 yards (tackle by NaVorro Bowman),3,0,0.700,1.220
1,0:37,3,9,SFO 48,Russell Wilson sacked by NaVorro Bowman for -11 yards,3,0,1.220,-0.650
2,15:00,4,20,SEA 41,Jon Ryan punts 45 yards muffed catch by LaMichael James recovered by Darryl Morris and returned for no gain,3,0,-0.650,0.280
2,14:49,1,10,SFO 14,Colin Kaepernick pass incomplete short left intended for Anquan Boldin (defended by Byron Maxwell),3,0,-0.280,-0.750
2,14:43,2,10,SFO 14,Frank Gore right tackle for 1 yard (tackle by Brandon Mebane and Malcolm Smith),3,0,-0.750,-1.280
2,14:04,3,9,SFO 15,Colin Kaepernick pass incomplete short right intended for Michael Crabtree. Penalty on Richard Sherman: Defensive Holding 5 yards (no play),3,0,-1.280,0.280
2,13:58,1,10,SFO 20,Frank Gore right guard for no gain (tackle by Clinton McDonald),3,0,0.280,-0.270
2,13:15,2,10,SFO 20,Colin Kaepernick right tackle for 12 yards,3,0,-0.270,1.070
2,12:30,1,10,SFO 32,Colin Kaepernick right tackle for 58 yards (tackle by Kam Chancellor),3,0,1.070,4.910
2,11:43,1,10,SEA 10,Frank Gore right guard for 2 yards (tackle by Malcolm Smith and Bobby Wagner),3,0,4.910,4.570
2,10:59,2,8,SEA 8,Frank Gore up the middle for 7 yards (tackle by Kam Chancellor and Richard Sherman),3,0,4.570,5.170
2,10:21,3,1,SEA 1,Anthony Dixon up the middle for no gain (tackle by Bobby Wagner and Red Bryant),3,0,5.170,3.550
,,,,,Replay Assistant challenged the runner broke the plane ruling and the play was overturned. Anthony Dixon up the middle for no gain (tackle by Bobby Wagner and Red Bryant),,,,
2,10:10,4,1,SEA 1,Anthony Dixon up the middle for 1 yard touchdown,9,0,3.550,7.000
2,10:10,,,,Phil Dawson kicks extra point good,10,0,0.000,0.000
2,10:10,,,SFO 35,Phil Dawson kicks off 65 yards returned by Doug Baldwin for 24 yards (tackle by Perrish Cox),10,0,0.000,-0.540
2,9:58,1,10,SEA 24,Russell Wilson pass complete short left to Doug Baldwin for 7 yards (tackle by Donte Whitner),10,0,0.540,0.940
2,9:28,2,3,SEA 31,Russell Wilson pass incomplete,10,0,0.940,0.230
2,9:20,3,3,SEA 31,Russell Wilson pass complete short right to Golden Tate for 4 yards (tackle by Tramaine Brock),10,0,0.230,1.270
2,8:44,1,10,SEA 35,Marshawn Lynch left tackle for 3 yards (tackle by Glenn Dorsey and Ahmad Brooks),10,0,1.270,1.130
2,8:07,2,7,SEA 38,Russell Wilson pass complete deep middle to Doug Baldwin for 51 yards (tackle by Donte Whitner and Eric Reid),10,0,1.130,4.840
2,7:10,1,10,SFO 11,Russell Wilson sacked by Dan Skuta for -5 yards,10,0,4.840,3.440
2,6:34,2,15,SFO 16,Marshawn Lynch right end for 2 yards (tackle by Carlos Rogers and NaVorro Bowman),10,0,3.440,3.030
2,5:56,3,13,SFO 14,Russell Wilson pass incomplete short left intended for Jermaine Kearse,10,0,3.030,2.510
2,5:50,4,13,SFO 14,Steven Hauschka 32 yard field goal good,10,3,2.510,3.000
2,5:50,,,SEA 35,Steven Hauschka kicks off 65 yards touchback,10,3,0.000,-0.280
2,5:47,1,10,SFO 20,Colin Kaepernick pass incomplete short middle intended for Anquan Boldin,10,3,0.280,-0.270
2,5:42,2,10,SFO 20,Colin Kaepernick right end for -2 yards (tackle by Kam Chancellor and Michael Bennett). Penalty on Vance McDonald: Offensive Holding (Declined),10,3,-0.270,-1.330
2,5:13,3,12,SFO 18,Colin Kaepernick pass complete short left to Quinton Patton for 2 yards (tackle by Earl Thomas),10,3,-1.330,-2.030
2,4:29,4,10,SFO 20,Andy Lee punts 43 yards returned by Golden Tate for no gain,10,3,-2.030,-1.400
2,4:20,1,10,SEA 37,Marshawn Lynch up the middle for 7 yards (tackle by Donte Whitner and Ray McDonald),10,3,1.400,1.800
2,3:46,2,3,SEA 44,Marshawn Lynch left tackle for 3 yards (tackle by Ray McDonald and Aldon Smith),10,3,1.800,2.060
2,3:03,1,10,SEA 47,Marshawn Lynch right tackle for 1 yard (tackle by Justin Smith and NaVorro Bowman),10,3,2.060,1.650
2,2:27,2,9,SEA 48,Marshawn Lynch left guard for 6 yards (tackle by NaVorro Bowman),10,3,1.650,1.750
2,2:00,3,3,SFO 46,Penalty on Jermaine Kearse: False Start 5 yards (no play),10,3,1.750,1.090
2,2:00,3,8,SEA 49,Russell Wilson pass complete short middle to Doug Baldwin for 9 yards (tackle by Carlos Rogers),10,3,1.090,2.790
2,1:25,1,10,SFO 42,Russell Wilson for 3 yards,10,3,2.790,2.650
2,1:15,2,7,SFO 39,Russell Wilson sacked by Aldon Smith for -1 yards,10,3,2.650,1.820
2,1:07,2,7,SFO 39,Timeout #1 by Seattle Seahawks,10,3,0.000,0.000
2,1:07,3,8,SFO 40,Russell Wilson pass complete short right to Zach Miller for 2 yards (tackle by Tramaine Brock),10,3,1.820,0.720
2,0:27,3,8,SFO 40,Timeout #2 by Seattle Seahawks,10,3,0.000,0.000
2,0:27,4,6,SFO 38,Russell Wilson pass incomplete short right intended for Golden Tate. Penalty on Carlos Rogers: Unnecessary Roughness 15 yards,10,3,0.720,-0.480
2,0:20,1,10,SFO 23,Colin Kaepernick kneels for -1 yards,10,3,0.480,-0.200
