Rk,Date,,Opp,Result,Quarter,Dist,Type,Detail
1,2014-09-04,,GNB,W 36-16,1,2,rush,John Kuhn 2 yard rush (Mason Crosby kick)
2,2014-09-04,,GNB,W 36-16,4,3,pass,Randall Cobb 3 yard pass from Aaron Rodgers (pass failed)
3,2014-09-14,@,SDG,L 21-30,2,8,pass,Antonio Gates 8 yard pass from Philip Rivers (Nick Novak kick)
4,2014-09-14,@,SDG,L 21-30,2,8,pass,Antonio Gates 8 yard pass from Philip Rivers (Nick Novak kick)
5,2014-09-14,@,SDG,L 21-30,3,21,pass,Antonio Gates 21 yard pass from Philip Rivers (Nick Novak kick)
6,2014-09-21,,DEN,W 26-20,4,3,pass,Julius Thomas 3 yard pass from Peyton Manning (Brandon McManus kick)
7,2014-09-21,,DEN,W 26-20,4,26,pass,Jacob Tamme 26 yard pass from Peyton Manning (Demaryius Thomas pass from Peyton Manning)
8,2014-10-06,@,WAS,W 27-17,2,60,pass,DeSean Jackson 60 yard pass from Kirk Cousins (Kai Forbath kick)
9,2014-10-06,@,WAS,W 27-17,4,6,pass,Andre Roberts 6 yard pass from Kirk Cousins (Kai Forbath kick)
10,2014-10-12,,DAL,L 23-30,1,2,pass,Gavin Escobar 2 yard pass from Tony Romo (Dan Bailey kick)
11,2014-10-12,,DAL,L 23-30,2,3,pass,Jason Witten 3 yard pass from Tony Romo (Dan Bailey kick)
12,2014-10-12,,DAL,L 23-30,4,15,rush,DeMarco Murray 15 yard rush (Dan Bailey kick)
13,2014-10-19,@,STL,L 26-28,1,6,rush,Tre Mason 6 yard rush (Greg Zuerlein kick)
14,2014-10-19,@,STL,L 26-28,2,5,pass,Benny Cunningham 5 yard pass from Austin Davis (Greg Zuerlein kick)
15,2014-10-19,@,STL,L 26-28,2,90,punt,Stedman Bailey 90 yard punt return (Greg Zuerlein kick)
16,2014-10-19,@,STL,L 26-28,4,4,pass,Lance Kendricks 4 yard pass from Austin Davis (Greg Zuerlein kick)
17,2014-11-02,,OAK,W 30-24,3,,blocked punt,Brice Butler unknown yard blocked punt return (Sebastian Janikowski kick)
18,2014-11-02,,OAK,W 30-24,3,1,pass,Mychal Rivera 1 yard pass from Derek Carr (Sebastian Janikowski kick)
19,2014-11-02,,OAK,W 30-24,4,1,pass,Mychal Rivera 1 yard pass from Derek Carr (Sebastian Janikowski kick)
20,2014-11-09,,NYG,W 38-17,1,6,pass,Preston Parker 6 yard pass from Eli Manning (Josh Brown kick)
21,2014-11-09,,NYG,W 38-17,2,3,rush,Andre Williams 3 yard rush (Josh Brown kick)
22,2014-11-16,@,KAN,L 20-24,1,1,rush,Jamaal Charles 1 yard rush (Cairo Santos kick)
23,2014-11-16,@,KAN,L 20-24,2,16,rush,Jamaal Charles 16 yard rush (Cairo Santos kick)
24,2014-11-16,@,KAN,L 20-24,4,4,rush,Knile Davis 4 yard rush (Cairo Santos kick)
25,2014-12-07,@,PHI,W 24-14,1,1,pass,Jeremy Maclin 1 yard pass from Mark Sanchez (Cody Parkey kick)
26,2014-12-07,@,PHI,W 24-14,3,35,pass,Zach Ertz 35 yard pass from Mark Sanchez (Cody Parkey kick)
27,2014-12-14,,SFO,W 17-7,2,10,rush,Frank Gore 10 yard rush (Phil Dawson kick)
