Quarter,Time,Down,ToGo,Location,Detail,SEA,DEN,EPB,EPA
1,15:00,,,SEA 35,Steven Hauschka kicks off 71 yards returned by Trindon Holliday for 20 yards (tackle by Derrick Coleman),0,0,0.000,0.280
1,14:53,1,10,DEN 14,Peyton Manning for no gain. Manuel Ramirez fumbles recovered by Knowshon Moreno at DEN--8 safety. Penalty on Peyton Manning: Illegal Motion (Declined),2,0,-0.280,-2.000
1,14:53,,,DEN 20,Britton Colquitt kicks off 64 yards returned by Golden Tate for 20 yards (tackle by Brandon Marshall),2,0,0.000,-1.330
1,14:43,1,10,SEA 36,Marshawn Lynch up the middle for 3 yards (tackle by Sylvester Williams and Danny Trevathan),2,0,1.330,1.200
1,14:08,2,7,SEA 39,Percy Harvin left end for 30 yards (tackle by Duke Ihenacho),2,0,1.200,3.510
1,13:44,1,10,DEN 31,Penalty on Russell Okung: False Start 5 yards (no play),2,0,3.510,3.180
1,13:22,1,15,DEN 36,Russell Wilson pass incomplete short right intended for Zach Miller,2,0,3.180,2.290
1,13:14,2,15,DEN 36,Russell Wilson pass complete short left to Jermaine Kearse for 6 yards (tackle by Duke Ihenacho),2,0,2.290,2.410
1,12:34,3,9,DEN 30,Russell Wilson pass complete short middle to Jermaine Kearse for 12 yards (tackle by Mike Adams),2,0,2.410,4.370
1,12:01,1,10,DEN 18,Marshawn Lynch left tackle for -1 yards (tackle by Terrance Knighton and Jeremy Mincey),2,0,4.370,3.670
1,11:21,2,11,DEN 19,Russell Wilson left end for 5 yards (tackle by Duke Ihenacho),2,0,3.670,3.630
1,10:55,3,6,DEN 14,Russell Wilson left end for 5 yards (tackle by Duke Ihenacho),2,0,3.630,2.980
,,,,,SEA challenged the first down ruling and the play was upheld.,,,,
1,10:25,4,1,DEN 9,Penalty on J.R. Sweezy: False Start 4 yards (no play),2,0,2.980,2.620
1,10:25,4,5,DEN 13,Steven Hauschka 31 yard field goal good,5,0,2.620,3.000
1,10:25,,,SEA 35,Steven Hauschka kicks off 65 yards touchback. Penalty on Ricardo Lockette: Unnecessary Roughness 15 yards,5,0,0.000,-1.270
1,10:21,1,10,DEN 35,Knowshon Moreno left tackle for 3 yards (tackle by Cliff Avril and Chris Clemons),5,0,1.270,1.130
1,9:53,2,7,DEN 38,Peyton Manning pass complete short middle to Demaryius Thomas for 2 yards (tackle by Kam Chancellor),5,0,1.130,0.700
1,9:22,3,5,DEN 40,Peyton Manning pass complete short middle to Julius Thomas for 3 yards (tackle by Bobby Wagner and Walter Thurmond),5,0,0.700,-0.520
1,8:45,4,2,DEN 43,Britton Colquitt punts 29 yards fair catch by Golden Tate,5,0,-0.520,-0.810
1,8:31,1,10,SEA 28,Russell Wilson pass incomplete short right intended for Golden Tate (defended by Malik Jackson),5,0,0.810,0.260
1,8:27,2,10,SEA 28,Marshawn Lynch right guard for 3 yards (tackle by Nate Irving and Duke Ihenacho),5,0,0.260,-0.030
