Quarter,Time,Down,ToGo,Location,Detail,SEA,ARI,EPB,EPA
1,15:00,,,CRD 35,Chandler Catanzaro kicks off 65 yards touchback,0,0,0.000,-0.280
1,15:00,1,10,SEA 20,Robert Turbin right tackle for 9 yards (tackle by Tony Jefferson),0,0,0.280,0.950
1,14:27,2,1,SEA 29,Robert Turbin up the middle for no gain (tackle by Alex Okafor),0,0,0.950,0.230
1,13:46,3,1,SEA 29,Robert Turbin up the middle for 2 yards (tackle by Kevin Minter),0,0,0.230,1.000
1,13:09,1,10,SEA 31,Russell Wilson pass complete short left to Cooper Helfet for 3 yards (tackle by Jerraud Powers),0,0,1.000,0.870
1,12:33,2,7,SEA 34,Robert Turbin up the middle for 11 yards (tackle by Rashad Johnson and Larry Foote),0,0,0.870,1.930
1,11:56,1,10,SEA 45,Penalty on Jermaine Kearse: False Start 5 yards (no play),0,0,1.930,1.600
1,11:30,1,15,SEA 40,Russell Wilson pass incomplete short left intended for Cooper Helfet,0,0,1.600,0.710
1,11:26,2,15,SEA 40,Christine Michael right tackle for 5 yards (tackle by Deone Bucannon and Tommy Kelly),0,0,0.710,0.700
1,10:43,3,10,SEA 45,Russell Wilson pass complete short middle to Doug Baldwin for 6 yards (tackle by Justin Bethel),0,0,0.700,0.000
1,10:08,4,4,CRD 49,Jon Ryan punts 33 yards fair catch by Ted Ginn,0,0,0.000,0.140
1,9:59,1,10,CRD 16,Stepfan Taylor up the middle for 4 yards (tackle by Bruce Irvin and Bobby Wagner),0,0,-0.140,0.010
1,9:22,2,6,CRD 20,Stepfan Taylor up the middle for 2 yards (tackle by K.J. Wright),0,0,0.010,-0.570
1,8:36,3,4,CRD 22,Ryan Lindley pass complete short middle to Larry Fitzgerald for 5 yards (tackle by Bobby Wagner). Penalty on Bruce Irvin: Illegal Use of Hands (Declined),0,0,-0.570,0.740
1,8:12,1,10,CRD 27,Ryan Lindley pass incomplete short left intended for Ted Ginn,0,0,0.740,0.200
1,8:06,2,10,CRD 27,Ryan Lindley pass incomplete short right intended for Ted Ginn,0,0,0.200,-0.490
1,8:02,3,10,CRD 27,Ryan Lindley pass incomplete short left intended for John Brown,0,0,-0.490,-1.570
1,7:56,4,10,CRD 27,Drew Butler punts 48 yards returned by Bryan Walters for 2 yards (tackle by Lorenzo Alexander). Penalty on Mike Morgan: Offensive Holding 10 yards,0,0,-1.570,0.220
1,7:45,1,10,SEA 15,Robert Turbin right tackle for 6 yards (tackle by Rashad Johnson),0,0,-0.220,0.210
1,7:09,2,4,SEA 21,Russell Wilson pass complete short middle to Doug Baldwin for 9 yards (tackle by Deone Bucannon),0,0,0.210,0.940
1,6:31,1,10,SEA 30,Russell Wilson pass complete short left to Ricardo Lockette for 5 yards (tackle by Rashad Johnson),0,0,0.940,1.070
1,5:46,2,5,SEA 35,Christine Michael right end for 2 yards (tackle by Antonio Cromartie),0,0,1.070,0.630
1,5:10,3,3,SEA 37,Russell Wilson pass complete short left to Jermaine Kearse for 8 yards (tackle by Deone Bucannon),0,0,0.630,1.930
1,4:35,1,10,SEA 45,Russell Wilson pass incomplete deep right intended for Doug Baldwin,0,0,1.930,1.380
1,4:29,2,10,SEA 45,Christine Michael up the middle for 15 yards (tackle by Tyrann Mathieu),0,0,1.380,2.920
1,3:51,1,10,CRD 40,Christine Michael right tackle for -2 yards (tackle by Alex Okafor),0,0,2.920,2.100
1,3:51,2,12,CRD 42,Penalty on Alvin Bailey: False Start 5 yards (no play),0,0,2.100,1.430
1,2:51,2,17,CRD 47,Russell Wilson pass incomplete,0,0,1.430,0.760
1,2:51,3,17,CRD 47,Russell Wilson pass incomplete,0,0,0.760,0.130
1,2:36,4,17,CRD 47,Jon Ryan punts 40 yards fair catch by Ted Ginn,0,0,0.130,0.380
1,2:28,1,10,CRD 7,Kerwynn Williams right tackle for 3 yards (tackle by K.J. Wright),0,0,-0.380,-0.560
1,1:51,2,7,CRD 10,Ryan Lindley pass incomplete deep left intended for Michael Floyd. Penalty on Byron Maxwell: Defensive Pass Interference 36 yards (no play),0,0,-0.560,1.990
1,1:44,1,10,CRD 46,Ryan Lindley pass incomplete deep right intended for Michael Floyd,0,0,1.990,1.450
1,1:37,2,10,CRD 46,Kerwynn Williams left tackle for 1 yard (tackle by Bobby Wagner and Michael Bennett),0,0,1.450,0.890
1,0:58,3,9,CRD 47,Ryan Lindley pass incomplete deep left intended for John Brown,0,0,0.890,-0.260
1,0:52,4,9,CRD 47,Drew Butler punts 43 yards fair catch by Bryan Walters. Penalty on Jeremy Lane: Offensive Holding 5 yards,0,0,-0.260,0.380
1,0:44,1,10,SEA 5,Robert Turbin left tackle for no gain (tackle by Kevin Minter),0,0,-0.380,-0.780
1,0:03,2,10,SEA 5,Russell Wilson up the middle for 55 yards (tackle by Rashad Johnson),0,0,-0.780,2.920
2,15:00,1,10,CRD 40,Russell Wilson pass complete short left to Cooper Helfet for 6 yards (tackle by Kevin Minter),0,0,2.920,3.180
2,14:26,2,4,CRD 34,Russell Wilson pass incomplete short right intended for Paul Richardson (defended by Alex Okafor),0,0,3.180,2.480
2,14:23,3,4,CRD 34,Russell Wilson pass incomplete short right intended for Doug Baldwin,0,0,2.480,1.080
2,14:15,4,4,CRD 34,Steven Hauschka 52 yard field goal no good,0,0,1.080,-1.730
2,14:10,1,10,CRD 42,Ryan Lindley pass complete short left to Stepfan Taylor for 18 yards (tackle by Earl Thomas),0,0,1.730,2.920
2,13:32,1,10,SEA 40,Stepfan Taylor up the middle for 3 yards (tackle by Jordan Hill),0,0,2.920,2.780
2,12:53,2,7,SEA 37,Stepfan Taylor right tackle for 4 yards (tackle by Bobby Wagner and Richard Sherman),0,0,2.780,2.610
2,12:17,2,7,SEA 37,Timeout #1 by Arizona Cardinals,0,0,0.000,0.000
2,12:17,3,3,SEA 33,Ryan Lindley pass complete short left to Marion Grice for 3 yards (tackle by Bobby Wagner),0,0,2.610,3.580
2,11:45,1,10,SEA 30,Stepfan Taylor right end for 1 yard (tackle by Richard Sherman). Penalty on Michael Bennett: Defensive Offside 5 yards (no play),0,0,3.580,4.310
2,11:20,1,5,SEA 25,Stepfan Taylor right tackle for -4 yards (tackle by Michael Bennett and Byron Maxwell). Penalty on Michael Bennett: Defensive Offside 5 yards (no play),0,0,4.310,4.240
2,10:54,1,10,SEA 20,Stepfan Taylor up the middle for 1 yard (tackle by Kam Chancellor),0,0,4.240,3.820
2,10:11,2,9,SEA 19,Ryan Lindley pass complete short left to Rob Housler for 13 yards (tackle by Earl Thomas),0,0,3.820,5.830
2,9:23,1,6,SEA 6,Stepfan Taylor up the middle for 3 yards (tackle by Tony McDaniel),0,0,5.830,5.530
2,8:43,2,3,SEA 3,Stepfan Taylor right tackle for -1 yards (tackle by Kevin Williams),0,0,5.530,4.490
2,8:05,2,3,SEA 3,Timeout #1 by Seattle Seahawks,0,0,0.000,0.000
2,8:05,3,4,SEA 4,Penalty on Ted Larsen: False Start 5 yards (no play),0,0,4.490,3.360
2,8:05,3,9,SEA 9,Ryan Lindley pass incomplete short right intended for John Brown (defended by Jeremy Lane),0,0,3.360,2.830
2,7:59,4,9,SEA 9,Chandler Catanzaro 27 yard field goal good,0,3,2.830,3.000
2,7:59,,,CRD 35,Chandler Catanzaro kicks off 65 yards touchback,0,3,0.000,-0.280
2,7:55,1,10,SEA 20,Marshawn Lynch up the middle for no gain (tackle by Dan Williams and Rashad Johnson),0,3,0.280,-0.270
2,7:16,2,10,SEA 20,Russell Wilson pass complete deep right to Luke Willson for 80 yards touchdown,6,3,-0.270,7.000
2,7:16,,,,Steven Hauschka kicks extra point good,7,3,0.000,0.000
2,7:16,,,SEA 35,Steven Hauschka kicks off 66 yards returned by Ted Ginn for 9 yards (tackle by Brock Coyle),7,3,0.000,0.380
2,7:03,1,10,CRD 8,Logan Thomas pass incomplete deep left intended for John Brown,7,3,-0.380,-0.780
2,6:48,2,10,CRD 8,Ryan Lindley pass incomplete short left intended for Darren Fells,7,3,-0.780,-1.420
2,6:44,3,10,CRD 8,Ryan Lindley pass incomplete deep middle intended for Larry Fitzgerald,7,3,-1.420,-2.490
2,6:38,4,10,CRD 8,Drew Butler punts 31 yards fair catch by Bryan Walters,7,3,-2.490,-2.980
2,6:29,1,10,CRD 39,Marshawn Lynch up the middle for no gain (tackle by Tyrann Mathieu),7,3,2.980,2.440
2,5:50,1,10,CRD 39,Timeout #2 by Seattle Seahawks,7,3,0.000,0.000
2,5:50,2,10,CRD 39,Russell Wilson for 22 yards (tackle by Patrick Peterson),7,3,2.440,4.440
2,5:09,2,10,CRD 39,Timeout #3 by Seattle Seahawks,7,3,0.000,0.000
2,5:09,1,10,CRD 17,Marshawn Lynch right tackle for 2 yards (tackle by Dan Williams and Alex Okafor),7,3,4.440,4.150
2,4:32,2,8,CRD 15,Russell Wilson pass incomplete short left intended for Cooper Helfet,7,3,4.150,3.340
