Quarter,Time,Down,ToGo,Location,Detail,STL,SEA,EPB,EPA
1,15:00,,,SEA 35,Steven Hauschka kicks off 65 yards touchback,0,0,0.000,-0.280
1,15:00,1,10,RAM 20,Shaun Hill pass incomplete short right intended for Cory Harkey (defended by Kam Chancellor),0,0,0.280,-0.270
1,14:53,2,10,RAM 20,Tre Mason up the middle for no gain (tackle by Kevin Williams and Tony McDaniel),0,0,-0.270,-0.960
1,14:15,3,10,RAM 20,Shaun Hill pass complete short middle to Kenny Britt for 9 yards (tackle by Earl Thomas),0,0,-0.960,-1.440
1,13:35,4,1,RAM 29,Johnny Hekker punts 49 yards fair catch by Bryan Walters,0,0,-1.440,-0.410
1,13:27,1,10,SEA 22,Marshawn Lynch up the middle for no gain (tackle by Aaron Donald),0,0,0.410,-0.130
1,12:50,2,10,SEA 22,Russell Wilson pass incomplete short middle intended for Paul Richardson,0,0,-0.130,-0.820
1,12:46,3,10,SEA 22,Russell Wilson sacked by Mark Barron for -2 yards,0,0,-0.820,-2.030
1,12:11,4,12,SEA 20,Jon Ryan punts 45 yards fair catch by Tavon Austin. Penalty on Ricardo Lockette: Unnecessary Roughness 15 yards,0,0,-2.030,-2.260
1,12:03,1,10,50,Tre Mason up the middle for 2 yards (tackle by K.J. Wright),0,0,2.260,1.980
1,11:29,2,8,SEA 48,Shaun Hill pass complete short right to Kenny Britt for 10 yards (tackle by Earl Thomas),0,0,1.980,3.050
1,10:48,1,10,SEA 38,Tre Mason up the middle for 2 yards (tackle by Cliff Avril and Tony McDaniel),0,0,3.050,2.780
1,10:11,2,8,SEA 36,Shaun Hill pass complete short right to Tre Mason for 8 yards (tackle by Kam Chancellor),0,0,2.780,3.710
1,9:38,1,10,SEA 28,Tre Mason left end for 4 yards (tackle by K.J. Wright),0,0,3.710,3.710
1,9:02,2,6,SEA 24,Tavon Austin left end for 2 yards (tackle by Kam Chancellor),0,0,3.710,3.270
1,8:23,3,4,SEA 22,Shaun Hill pass complete short left to Jared Cook for 5 yards (tackle by Kam Chancellor),0,0,3.270,4.440
1,7:53,1,10,SEA 17,Tre Mason left guard for 2 yards (tackle by Bruce Irvin and Bobby Wagner),0,0,4.440,4.150
1,7:14,2,8,SEA 15,Shaun Hill pass incomplete,0,0,4.150,3.340
1,7:08,3,8,SEA 15,Penalty on Shaun Hill: Delay of Game 5 yards (no play),0,0,3.340,2.810
1,7:08,3,13,SEA 20,Shaun Hill pass complete short left to Benny Cunningham for 5 yards (tackle by K.J. Wright),0,0,2.810,2.440
1,6:29,4,8,SEA 15,Greg Zuerlein 33 yard field goal good,3,0,2.440,3.000
