Quarter,Time,Down,ToGo,Location,Detail,SEA,SFO,EPB,EPA
1,15:00,,,SEA 35,Steven Hauschka kicks off 68 yards returned by Carlos Hyde for 16 yards (tackle by Jeron Johnson),0,0,0.000,0.320
1,14:55,1,10,SFO 13,Frank Gore up the middle for 7 yards (tackle by Bobby Wagner),0,0,-0.320,0.220
1,14:13,2,3,SFO 20,Colin Kaepernick pass complete short middle to Michael Crabtree for 5 yards (tackle by Kam Chancellor),0,0,0.220,0.610
1,13:46,1,10,SFO 25,Colin Kaepernick pass incomplete short middle intended for Frank Gore,0,0,0.610,0.060
1,13:41,2,10,SFO 25,Frank Gore left tackle for 4 yards (tackle by Bobby Wagner and Earl Thomas),0,0,0.060,-0.100
1,12:56,3,6,SFO 29,Colin Kaepernick pass incomplete deep right intended for Brandon Lloyd,0,0,-0.100,-1.440
1,12:51,4,6,SFO 29,Andy Lee punts 52 yards returned by Bryan Walters for 7 yards (tackle by Eric Reid),0,0,-1.440,-0.670
1,12:41,1,10,SEA 26,Marshawn Lynch up the middle for 3 yards (tackle by Chris Borland),0,0,0.670,0.540
1,12:09,2,7,SEA 29,Marshawn Lynch left tackle for 5 yards (tackle by Quinton Dial). Penalty on Justin Britt: Clipping 15 yards (no play),0,0,0.540,-1.610
1,11:43,2,22,SEA 14,Russell Wilson pass complete short left to Luke Willson for 6 yards (tackle by Chris Borland),0,0,-1.610,-1.350
1,11:00,3,16,SEA 20,Marshawn Lynch up the middle for 11 yards (tackle by Chris Borland and Antoine Bethea),0,0,-1.350,-1.310
1,10:25,4,5,SEA 31,Jon Ryan punts 41 yards returned by Perrish Cox for 3 yards (tackle by Ricardo Lockette),0,0,-1.310,-1.000
1,10:15,1,10,SFO 31,Colin Kaepernick pass incomplete deep left intended for Brandon Lloyd,0,0,1.000,0.460
1,10:08,2,10,SFO 31,Frank Gore up the middle for 5 yards (tackle by Michael Bennett),0,0,0.460,0.430
1,9:25,3,5,SFO 36,Colin Kaepernick sacked by Cliff Avril for -7 yards,0,0,0.430,-1.440
1,8:48,4,12,SFO 29,Andy Lee punts 53 yards returned by Bryan Walters for 3 yards (tackle by L.J. McCray),0,0,-1.440,-0.340
1,8:37,1,10,SEA 21,Russell Wilson pass complete short left to Doug Baldwin for 4 yards (tackle by Chris Borland),0,0,0.340,0.340
1,8:00,2,6,SEA 25,Marshawn Lynch right tackle for 4 yards (tackle by Ahmad Brooks),0,0,0.340,0.170
1,7:20,3,2,SEA 29,Russell Wilson pass incomplete short left intended for Tony Moeaki,0,0,0.170,-1.440
