Rk,Date,,Opp,Result,Quarter,Dist,Type,Detail
1,2014-09-04,,GNB,W 36-16,2,33,pass,Ricardo Lockette 33 yard pass from Russell Wilson (Stephen Hauschka kick)
2,2014-09-04,,GNB,W 36-16,2,9,rush,Marshawn Lynch 9 yard rush (Stephen Hauschka kick)
3,2014-09-04,,GNB,W 36-16,4,3,rush,Marshawn Lynch 3 yard rush (Stephen Hauschka kick)
4,2014-09-04,,GNB,W 36-16,4,15,pass,Derrick Coleman 15 yard pass from Russell Wilson (Stephen Hauschka kick)
5,2014-09-14,@,SDG,L 21-30,1,51,rush,Percy Harvin 51 yard rush (Stephen Hauschka kick)
6,2014-09-14,@,SDG,L 21-30,2,3,pass,Robert Turbin 3 yard pass from Russell Wilson (Stephen Hauschka kick)
7,2014-09-14,@,SDG,L 21-30,3,14,pass,Marshawn Lynch 14 yard pass from Russell Wilson (Stephen Hauschka kick)
8,2014-09-21,,DEN,W 26-20,2,39,pass,Ricardo Lockette 39 yard pass from Russell Wilson (Stephen Hauschka kick)
9,2014-09-21,,DEN,W 26-20,2,5,pass,Marshawn Lynch 5 yard pass from Russell Wilson (Stephen Hauschka kick)
10,2014-09-21,,DEN,W 26-20,5,6,rush,Marshawn Lynch 6 yard rush
11,2014-10-06,@,WAS,W 27-17,1,15,pass,Jermaine Kearse 15 yard pass from Russell Wilson (Stephen Hauschka kick)
12,2014-10-06,@,WAS,W 27-17,2,9,rush,Russell Wilson 9 yard rush (Stephen Hauschka kick)
13,2014-10-06,@,WAS,W 27-17,4,9,pass,Marshawn Lynch 9 yard pass from Russell Wilson (Stephen Hauschka kick)
14,2014-10-12,,DAL,L 23-30,1,25,blocked punt,Mike Morgan 25 yard blocked punt return (Stephen Hauschka kick)
15,2014-10-12,,DAL,L 23-30,3,9,rush,Russell Wilson 9 yard rush (Stephen Hauschka kick)
16,2014-10-19,@,STL,L 26-28,3,19,rush,Russell Wilson 19 yard rush (Stephen Hauschka kick)
17,2014-10-19,@,STL,L 26-28,4,19,pass,Cooper Helfet 19 yard pass from Russell Wilson (pass failed)
18,2014-10-19,@,STL,L 26-28,4,9,pass,Doug Baldwin 9 yard pass from Russell Wilson (Stephen Hauschka kick)
19,2014-10-26,@,CAR,W 13-9,4,23,pass,Luke Willson 23 yard pass from Russell Wilson (Stephen Hauschka kick)
20,2014-11-02,,OAK,W 30-24,1,3,rush,Marshawn Lynch 3 yard rush (Stephen Hauschka kick)
21,2014-11-02,,OAK,W 30-24,1,35,interception,Bruce Irvin 35 yard interception return (Stephen Hauschka kick)
22,2014-11-02,,OAK,W 30-24,2,5,rush,Marshawn Lynch 5 yard rush (Stephen Hauschka kick)
23,2014-11-09,,NYG,W 38-17,1,1,rush,Marshawn Lynch 1 yard rush (Stephen Hauschka kick)
24,2014-11-09,,NYG,W 38-17,2,2,rush,Marshawn Lynch 2 yard rush (Stephen Hauschka kick)
25,2014-11-09,,NYG,W 38-17,4,3,rush,Marshawn Lynch 3 yard rush (Stephen Hauschka kick)
26,2014-11-09,,NYG,W 38-17,4,16,rush,Marshawn Lynch 16 yard rush (Stephen Hauschka kick)
27,2014-11-09,,NYG,W 38-17,4,1,rush,Russell Wilson 1 yard rush (Stephen Hauschka kick)
28,2014-11-16,@,KAN,L 20-24,2,7,pass,Doug Baldwin 7 yard pass from Russell Wilson (Stephen Hauschka kick)
29,2014-11-16,@,KAN,L 20-24,3,1,pass,Tony Moeaki 1 yard pass from Russell Wilson (Stephen Hauschka kick)
30,2014-11-23,,ARI,W 19-3,3,20,pass,Cooper Helfet 20 yard pass from Russell Wilson (Stephen Hauschka kick)
31,2014-11-27,@,SFO,W 19-3,1,13,pass,Robert Turbin 13 yard pass from Russell Wilson (Stephen Hauschka kick)
32,2014-12-07,@,PHI,W 24-14,2,26,rush,Russell Wilson 26 yard rush (Stephen Hauschka kick)
33,2014-12-07,@,PHI,W 24-14,3,15,pass,Marshawn Lynch 15 yard pass from Russell Wilson (Stephen Hauschka kick)
34,2014-12-07,@,PHI,W 24-14,3,23,pass,Doug Baldwin 23 yard pass from Russell Wilson (Stephen Hauschka kick)
35,2014-12-14,,SFO,W 17-7,3,4,rush,Marshawn Lynch 4 yard rush (Stephen Hauschka kick)
36,2014-12-14,,SFO,W 17-7,4,10,pass,Paul Richardson 10 yard pass from Russell Wilson (Stephen Hauschka kick)
37,2014-12-21,@,ARI,W 35-6,2,80,pass,Luke Willson 80 yard pass from Russell Wilson (Stephen Hauschka kick)
38,2014-12-21,@,ARI,W 35-6,2,6,rush,Marshawn Lynch 6 yard rush (Stephen Hauschka kick)
39,2014-12-21,@,ARI,W 35-6,4,20,pass,Luke Willson 20 yard pass from Russell Wilson (Stephen Hauschka kick)
40,2014-12-21,@,ARI,W 35-6,4,79,rush,Marshawn Lynch 79 yard rush (Stephen Hauschka kick)
41,2014-12-21,@,ARI,W 35-6,4,5,rush,Russell Wilson 5 yard rush (Stephen Hauschka kick)
42,2014-12-28,,STL,W 20-6,4,9,rush,Marshawn Lynch 9 yard rush (Stephen Hauschka kick)
43,2014-12-28,,STL,W 20-6,4,49,interception,Bruce Irvin 49 yard interception return (Stephen Hauschka kick)
