Quarter,Time,Down,ToGo,Location,Detail,CAR,SEA,EPB,EPA
1,15:00,,,SEA 35,Steven Hauschka kicks off 65 yards touchback,0,0,0.000,-0.280
1,15:00,1,10,CAR 20,Cam Newton pass complete short left to Jonathan Stewart for 4 yards (tackle by Earl Thomas). Jonathan Stewart fumbles (forced by Earl Thomas) ball out of bounds at CAR-24,0,0,0.280,0.270
1,14:34,2,6,CAR 24,Jonathan Stewart up the middle for 5 yards (tackle by K.J. Wright and Earl Thomas),0,0,0.270,0.230
1,13:53,3,1,CAR 29,Cam Newton pass incomplete short middle intended for Jerricho Cotchery,0,0,0.230,-1.440
1,13:47,4,1,CAR 29,Brad Nortman punts 35 yards fair catch by Bryan Walters,0,0,-1.440,-1.330
1,13:39,1,10,SEA 36,Russell Wilson pass complete short left to Doug Baldwin for 11 yards (tackle by Thomas Davis),0,0,1.330,2.060
1,13:06,1,10,SEA 47,Russell Wilson pass complete short left to Luke Willson for 8 yards (tackle by Roman Harper and Thomas Davis),0,0,2.060,2.600
1,12:31,2,2,CAR 45,Marshawn Lynch left guard for 1 yard (tackle by Colin Cole),0,0,2.600,2.020
1,11:55,3,1,CAR 44,Marshawn Lynch left guard for no gain (tackle by Colin Cole and Thomas Davis),0,0,2.020,0.330
1,11:15,4,1,CAR 44,Jon Ryan punts 33 yards fair catch by Brenton Bersin,0,0,0.330,0.370
1,11:05,1,10,CAR 11,Jonathan Stewart right tackle for 4 yards (tackle by Bobby Wagner),0,0,-0.370,-0.430
1,10:33,2,6,CAR 15,Cam Newton right end for 4 yards (tackle by Earl Thomas and Demarcus Dobbs),0,0,-0.430,-0.480
1,9:57,3,2,CAR 19,Cam Newton pass incomplete short right intended for Kelvin Benjamin,0,0,-0.480,-2.140
1,9:50,4,2,CAR 19,Brad Nortman punts 37 yards fair catch by Bryan Walters. Penalty on Jeremy Lane: Unnecessary Roughness 15 yards,0,0,-2.140,-0.870
1,9:42,1,10,SEA 29,Marshawn Lynch right guard for 2 yards (tackle by Luke Kuechly and Kawann Short),0,0,0.870,0.600
1,9:07,2,8,SEA 31,Russell Wilson pass incomplete deep right intended for Cooper Helfet,0,0,0.600,-0.100
1,9:02,3,8,SEA 31,Penalty on J.R. Sweezy: False Start 5 yards (no play),0,0,-0.100,-0.760
1,9:02,3,13,SEA 26,Marshawn Lynch left tackle for 6 yards (tackle by Thomas Davis),0,0,-0.760,-1.240
1,8:31,4,7,SEA 32,Jon Ryan punts 45 yards fair catch by Brenton Bersin. Penalty on Carrington Byndom: Offensive Holding 10 yards,0,0,-1.240,0.320
1,8:21,1,10,CAR 13,Cam Newton right tackle for 3 yards (tackle by Kevin Williams),0,0,-0.320,-0.440
1,7:50,2,7,CAR 16,Cam Newton pass complete short left to Kelvin Benjamin for 3 yards (tackle by Tharold Simon),0,0,-0.440,-0.710
1,7:07,3,4,CAR 19,Cam Newton pass incomplete deep right intended for Philly Brown is intercepted by Richard Sherman at SEA-38,0,0,-0.710,-1.470
1,6:59,1,10,SEA 38,Russell Wilson pass incomplete short right intended for Robert Turbin,0,0,1.470,0.920
1,6:56,2,10,SEA 38,Russell Wilson pass complete short right to Marshawn Lynch for -2 yards (tackle by Colin Jones),0,0,0.920,-0.030
1,6:16,3,12,SEA 36,Russell Wilson pass complete deep right to Jermaine Kearse for 33 yards (tackle by Colin Jones),0,0,-0.030,3.510
1,5:33,1,10,CAR 31,Russell Wilson for no gain. Russell Wilson fumbles recovered by Russell Wilson at CAR-33,0,0,3.510,2.700
1,4:52,2,12,CAR 33,Russell Wilson pass incomplete short middle intended for Doug Baldwin,0,0,2.700,2.020
1,4:48,3,12,CAR 33,Russell Wilson pass complete short right to Ricardo Lockette for 6 yards (tackle by Bene Benwikere). Penalty on Ricardo Lockette: Taunting 15 yards,0,0,2.020,0.460
1,4:28,4,21,CAR 42,Jon Ryan punts 31 yards fair catch by Brenton Bersin,0,0,0.460,0.370
1,4:20,1,10,CAR 11,Jonathan Stewart right guard for 2 yards (tackle by O'Brien Schofield),0,0,-0.370,-0.630
1,3:45,2,8,CAR 13,Cam Newton pass complete short left to Kelvin Benjamin for 4 yards,0,0,-0.630,-0.720
1,3:12,3,4,CAR 17,Cam Newton pass complete short middle to Mike Tolbert for 14 yards (tackle by Earl Thomas and Demarcus Dobbs),0,0,-0.720,1.000
1,2:33,1,10,CAR 31,Cam Newton pass incomplete deep right intended for Jerricho Cotchery,0,0,1.000,0.460
1,2:27,2,10,CAR 31,Cam Newton for no gain. Cam Newton fumbles recovered by Tony McDaniel at CAR-28 (tackle by Trai Turner),0,0,0.460,-3.710
1,2:22,1,10,CAR 28,Russell Wilson pass complete short right to Doug Baldwin for 11 yards (tackle by Josh Norman),0,0,3.710,4.440
1,1:48,1,10,CAR 17,Marshawn Lynch left guard for 1 yard (tackle by Thomas Davis),0,0,4.440,4.000
1,1:06,2,9,CAR 16,Russell Wilson pass incomplete short left intended for Cooper Helfet,0,0,4.000,3.190
1,1:01,3,9,CAR 16,Russell Wilson pass complete deep middle to Doug Baldwin for 16 yards touchdown,0,6,3.190,7.000
1,1:01,,,,Steven Hauschka kicks extra point good,0,7,0.000,0.000
1,1:01,,,SEA 35,Steven Hauschka kicks off 67 yards returned by Fozzy Whittaker for 23 yards (tackle by DeShawn Shead),0,7,0.000,-0.340
1,0:50,1,10,CAR 21,Jonathan Stewart right end for 15 yards (tackle by Earl Thomas),0,7,0.340,1.330
1,0:09,1,10,CAR 36,Cam Newton pass complete short right to Philly Brown for 14 yards (tackle by Richard Sherman),0,7,1.330,2.260
2,15:00,1,10,50,Cam Newton up the middle for 9 yards (tackle by K.J. Wright),0,7,2.260,2.930
2,14:17,2,1,SEA 41,Jonathan Stewart right guard for no gain (tackle by Earl Thomas and Tony McDaniel),0,7,2.930,2.210
2,13:36,3,1,SEA 41,Cam Newton up the middle for 2 yards (tackle by Bobby Wagner and K.J. Wright),0,7,2.210,2.980
2,12:56,1,10,SEA 39,DeAngelo Williams left tackle for 6 yards (tackle by Earl Thomas and Bruce Irvin),0,7,2.980,3.250
