Quarter,Time,Down,ToGo,Location,Detail,GNB,SEA,EPB,EPA
1,15:00,,,SEA 35,Steven Hauschka kicks off 65 yards touchback,0,0,0.000,-0.280
1,15:00,1,10,GNB 20,Aaron Rodgers pass complete short left to John Kuhn for 3 yards (tackle by Kam Chancellor),0,0,0.280,0.140
1,14:28,2,7,GNB 23,Eddie Lacy right tackle for 1 yard (tackle by Kevin Williams),0,0,0.140,-0.430
1,13:57,3,6,GNB 24,Penalty on Michael Bennett: Defensive Offside 5 yards (no play),0,0,-0.430,0.230
1,13:31,3,1,GNB 29,Eddie Lacy left tackle for 13 yards (tackle by K.J. Wright and Byron Maxwell),0,0,0.230,1.730
1,13:03,1,10,GNB 42,Eddie Lacy left guard for 3 yards (tackle by K.J. Wright and Bobby Wagner),0,0,1.730,1.590
1,12:40,2,7,GNB 45,Aaron Rodgers pass incomplete deep left intended for Jordy Nelson. Penalty on Bruce Irvin: Defensive 12 On-field 5 yards (no play),0,0,1.590,2.270
1,12:35,2,2,50,Aaron Rodgers pass complete short left to Davante Adams for 7 yards (tackle by Byron Maxwell),0,0,2.270,2.720
1,12:00,1,10,SEA 43,Aaron Rodgers pass complete short right to Randall Cobb for 14 yards (tackle by Richard Sherman). Penalty on Cliff Avril: Illegal Use of Hands (Declined),0,0,2.720,3.640
1,11:32,1,10,SEA 29,Aaron Rodgers pass incomplete short right intended for Davante Adams,0,0,3.640,3.100
1,11:28,2,10,SEA 29,Aaron Rodgers pass incomplete deep left intended for Jordy Nelson,0,0,3.100,2.410
1,11:23,3,10,SEA 29,Aaron Rodgers pass incomplete deep right intended for Davante Adams is intercepted by Richard Sherman at SEA-0,0,0,2.410,-0.280
1,11:16,1,10,SEA 20,Marshawn Lynch right guard for 3 yards (tackle by Sam Barrington),0,0,0.280,0.140
1,10:45,2,7,SEA 23,Russell Wilson pass incomplete short right intended for Marshawn Lynch,0,0,0.140,-0.560
1,10:37,3,7,SEA 23,Russell Wilson pass incomplete short middle intended for Jermaine Kearse is intercepted by Ha Ha Clinton-Dix at SEA-30 and returned for 26 yards. Penalty on Mike Daniels: Taunting 15 yards,0,0,-0.560,-4.310
1,10:28,3,7,SEA 23,Timeout #1 by Green Bay Packers,0,0,0.000,0.000
1,10:28,1,10,SEA 19,Aaron Rodgers pass complete short middle to Richard Rodgers for 12 yards (tackle by Bobby Wagner),0,0,4.310,5.600
1,9:47,1,7,SEA 7,Eddie Lacy up the middle for 6 yards (tackle by Demarcus Dobbs),0,0,5.600,5.910
1,9:11,2,1,SEA 1,John Kuhn up the middle for 1 yard touchdown,0,0,5.910,5.170
,,,,,Replay Assistant challenged the runner broke the plane ruling and the play was overturned. John Kuhn up the middle for no gain (tackle by Kevin Williams and Bobby Wagner),,,,
1,8:56,3,1,SEA 1,Eddie Lacy left guard for no gain (tackle by Malcolm Smith and Bruce Irvin),0,0,5.170,3.550
1,8:10,4,1,SEA 1,Mason Crosby 18 yard field goal good,3,0,3.550,3.000
1,8:10,,,GNB 35,Mason Crosby kicks off 71 yards returned by Doug Baldwin for 28 yards (tackle by Brad Jones). Doug Baldwin fumbles recovered by Morgan Burnett at SEA-23,3,0,0.000,4.040
1,8:01,1,10,SEA 23,Eddie Lacy right tackle for 7 yards (tackle by Tony McDaniel and Kam Chancellor),3,0,4.040,4.560
1,7:26,2,3,SEA 16,Eddie Lacy left tackle for 9 yards (tackle by Bobby Wagner and Jeremy Lane),3,0,4.560,5.600
