Quarter,Time,Down,ToGo,Location,Detail,SEA,NWE,EPB,EPA
1,15:00,,,SEA 35,Steven Hauschka kicks off 70 yards returned by Danny Amendola for 23 yards (tackle by DeShawn Shead),0,0,0.000,-0.040
1,14:57,1,10,NWE 18,Tom Brady pass complete short right to Rob Gronkowski for 2 yards (tackle by Bruce Irvin),0,0,0.040,-0.130
1,14:15,2,8,NWE 20,Tom Brady pass complete short left to Danny Amendola for 6 yards (tackle by Byron Maxwell),0,0,-0.130,-0.140
1,13:47,3,2,NWE 26,Tom Brady pass complete short left to Shane Vereen for 5 yards (tackle by K.J. Wright),0,0,-0.140,1.000
1,13:15,1,10,NWE 31,LeGarrette Blount middle for 2 yards (tackle by Bobby Wagner),0,0,1.000,0.730
1,12:34,2,8,NWE 33,LeGarrette Blount right tackle for 2 yards (tackle by K.J. Wright and Cliff Avril),0,0,0.730,0.300
1,11:49,3,6,NWE 35,Tom Brady pass incomplete short left intended for Shane Vereen,0,0,0.300,-1.040
1,11:44,4,6,NWE 35,Ryan Allen punts 49 yards returned by Bryan Walters for no gain. Penalty on Jeron Johnson: Running Into the Kicker (Declined),0,0,-1.040,0.140
1,11:34,1,10,SEA 16,Marshawn Lynch right end for 3 yards (tackle by Sealver Siliga and Dont'a Hightower),0,0,-0.140,-0.180
1,10:52,2,7,SEA 19,Marshawn Lynch middle for 5 yards (tackle by Dont'a Hightower and Rob Ninkovich),0,0,-0.180,-0.320
1,10:14,3,2,SEA 24,Marshawn Lynch middle for no gain (tackle by Jamie Collins),0,0,-0.320,-1.770
1,9:30,4,2,SEA 24,Jon Ryan punts 44 yards fair catch by Julian Edelman,0,0,-1.770,-1.070
1,9:20,1,10,NWE 32,Tom Brady pass complete short left to Shane Vereen for 3 yards (tackle by Kevin Williams),0,0,1.070,0.930
1,8:41,2,7,NWE 35,Tom Brady pass complete short left to Julian Edelman for 11 yards (tackle by Byron Maxwell),0,0,0.930,1.990
1,8:04,1,10,NWE 46,LeGarrette Blount middle for 6 yards (tackle by Bobby Wagner and Richard Sherman),0,0,1.990,2.260
1,7:23,2,4,SEA 48,LeGarrette Blount right tackle for 1 yard (tackle by Tony McDaniel and Bobby Wagner),0,0,2.260,1.690
1,6:44,3,3,SEA 47,Tom Brady pass complete short right to Rob Gronkowski for 4 yards (tackle by Kam Chancellor),0,0,1.690,2.720
1,6:07,1,10,SEA 43,Tom Brady pass complete short left to Shane Vereen for 3 yards (tackle by K.J. Wright),0,0,2.720,2.580
1,5:31,2,7,SEA 40,LeGarrette Blount middle for 6 yards (tackle by K.J. Wright),0,0,2.580,2.680
1,4:52,3,1,SEA 34,LeGarrette Blount right end for 8 yards (tackle by Earl Thomas),0,0,2.680,3.840
1,4:15,1,10,SEA 26,LeGarrette Blount middle for 2 yards (tackle by K.J. Wright),0,0,3.840,3.570
1,3:38,2,8,SEA 24,Tom Brady pass complete short left to Danny Amendola for 10 yards (tackle by Byron Maxwell),0,0,3.570,4.650
1,3:07,1,10,SEA 14,Tom Brady pass complete short right to Michael Hoomanawanui for 4 yards (tackle by Kam Chancellor),0,0,4.650,4.710
1,2:29,2,6,SEA 10,LeGarrette Blount middle for no gain (tackle by Michael Bennett and Cliff Avril),0,0,4.710,3.820
1,1:50,3,6,SEA 10,Tom Brady pass incomplete short left intended for Julian Edelman is intercepted by Jeremy Lane at SEA-0 and returned for 14 yards,0,0,3.820,0.280
1,1:39,1,10,SEA 14,Russell Wilson right end for 7 yards (tackle by Jamie Collins),0,0,-0.280,0.280
1,0:59,2,3,SEA 21,Marshawn Lynch left end for 4 yards (tackle by Jamie Collins),0,0,0.280,0.610
1,0:16,1,10,SEA 25,Russell Wilson sacked by Darrelle Revis for -2 yards,0,0,0.610,-0.210
2,15:00,2,12,SEA 23,Marshawn Lynch right end for 3 yards (tackle by Vince Wilfork),0,0,-0.210,-0.490
2,14:21,3,9,SEA 26,Russell Wilson pass incomplete deep middle intended for Bryan Walters,0,0,-0.490,-1.630
2,14:08,4,9,SEA 26,Jon Ryan punts 40 yards returned by Julian Edelman for 1 yard (tackle by Brock Coyle),0,0,-1.630,-1.270
2,13:57,1,10,NWE 35,Tom Brady pass complete short left to Danny Amendola for 17 yards (tackle by Earl Thomas),0,0,1.270,2.390
2,13:30,1,10,SEA 48,Tom Brady pass incomplete short left intended for Brandon LaFell,0,0,2.390,1.850
2,13:25,2,10,SEA 48,Tom Brady pass complete short left to Brandon LaFell for 7 yards (tackle by Bobby Wagner),0,0,1.850,2.080
2,12:45,3,3,SEA 41,Tom Brady pass complete short right to Shane Vereen for 5 yards (tackle by Bobby Wagner),0,0,2.080,3.180
2,12:06,1,10,SEA 36,Tom Brady pass incomplete deep right intended for Rob Gronkowski,0,0,3.180,2.640
2,11:59,2,10,SEA 36,Shane Vereen middle for 1 yard (tackle by K.J. Wright),0,0,2.640,2.080
2,11:17,3,9,SEA 35,Tom Brady pass complete short middle to Julian Edelman for 23 yards (tackle by Earl Thomas),0,0,2.080,4.780
2,10:34,1,10,SEA 12,LeGarrette Blount middle for 1 yard (tackle by Bobby Wagner),0,0,4.780,4.270
2,9:51,2,9,SEA 11,Tom Brady pass complete short left to Brandon LaFell for 11 yards touchdown,0,6,4.270,7.000
2,9:51,,,,Stephen Gostkowski kicks extra point good,0,7,0.000,0.000
2,9:51,,,NWE 35,Stephen Gostkowski kicks off 65 yards touchback,0,7,0.000,-0.280
2,9:47,1,10,SEA 20,Russell Wilson sacked by Chandler Jones for -3 yards,0,7,0.280,-0.790
2,9:06,2,13,SEA 17,Marshawn Lynch middle for 5 yards (tackle by Jamie Collins and Rob Ninkovich),0,7,-0.790,-0.690
2,8:24,3,8,SEA 22,Russell Wilson pass incomplete deep right intended for Jermaine Kearse (defended by Logan Ryan),0,7,-0.690,-1.900
2,8:17,4,8,SEA 22,Jon Ryan punts 61 yards returned by Julian Edelman for 11 yards (tackle by DeShawn Shead),0,7,-1.900,-0.810
2,8:05,1,10,NWE 28,Tom Brady pass incomplete short left intended for Rob Gronkowski (defended by Tony McDaniel),0,7,0.810,0.260
2,8:01,2,10,NWE 28,Tom Brady pass complete short right to Julian Edelman for 7 yards (tackle by Bobby Wagner),0,7,0.260,0.500
2,7:22,3,3,NWE 35,Tom Brady pass incomplete short middle intended for Julian Edelman,0,7,0.500,-1.040
2,7:17,4,3,NWE 35,Ryan Allen punts 35 yards,0,7,-1.040,-0.940
2,7:07,1,10,SEA 30,Marshawn Lynch middle for 5 yards (tackle by Alan Branch),0,7,0.940,1.070
2,6:31,2,5,SEA 35,Marshawn Lynch middle for 4 yards (tackle by Alan Branch),0,7,1.070,0.890
2,5:51,3,1,SEA 39,Penalty on Luke Willson: False Start 5 yards (no play),0,7,0.890,0.230
2,5:36,3,6,SEA 34,Russell Wilson pass complete short right to Jermaine Kearse for 6 yards (tackle by Brandon Browner),0,7,0.230,1.600
2,4:57,1,10,SEA 40,Marshawn Lynch left tackle for 5 yards (tackle by Dont'a Hightower),0,7,1.600,1.730
